"Average cost of fossil fuels for electricity generation (per Btu) for petroleum coke"
"https://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=2&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.PC-US-98.M&columnchart=ELEC.COST_BTU.PC-US-98.M&map=ELEC.COST_BTU.PC-US-98.M&freq=M&start=200801&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 01:52:58 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Average cost of fossil fuels for electricity generation (per Btu) for petroleum coke","dollars per million Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.COST_BTU.PC-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all sectors",,"ELEC.COST_BTU.PC-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : electric power","dollars per million Btu","ELEC.COST_BTU.PC-US-98.M",1.46,1.60,1.66,1.59,1.71,1.66,1.60,2.36,2.12,2.01,1.97,2.00,1.95,1.74,1.55,1.12,1.68,1.55,1.59,1.82,1.32,1.53,1.21,1.57,1.67,1.79,2.06,2.15,2.19,2.11,2.38,2.63,2.67,2.37,2.13,2.53,"W","W","W",3.18,3.22,2.64,3.18,"W","W","W","W","W",2.27,"W","W","W","W",2.24,2.36,2.40,"W","W","W","W",1.97,2.05,2.00,"W","W","W","W","W","W","W",1.87,"W",1.79,2.01,1.99,2.11,2.17,2.03,1.86,1.92,1.87,1.72,1.78,1.95,2.00,1.76,2.01,1.98,2.04,1.84,1.91,1.85,1.75,1.86,1.61,1.55,1.34,1.29,1.38,1.31,1.30,1.39,1.46,1.74,2.07,1.98,2.26,2.07,2.14,2.00,2.06,2.00,2.05,2.14,2.11,2.11,2.12,2.37,2.52,2.17,2.38,2.43,2.54,2.56,2.41,2.73,2.73,2.82,3.05,2.55,2.23,2.04,2.08,2.27,2.43,2.71,2.24,2.18,2.01,1.72,1.68,1.51,1.46,1.14,1.53,1.47,1.36,1.38,1.61,1.46,1.62
"United States : electric utility","dollars per million Btu","ELEC.COST_BTU.PC-US-1.M",1.87,2.05,1.92,1.86,2.05,2.05,1.78,2.41,2.31,2.21,2.37,2.53,2.06,1.92,1.72,1.15,1.86,1.78,1.73,1.94,1.39,1.58,1.21,1.64,1.76,1.96,2.24,2.30,2.32,2.22,2.50,2.69,2.71,2.51,2.28,2.75,3.35,3.02,3.32,3.52,3.57,2.85,3.41,3.18,2.94,3.23,2.11,2.34,2.45,2.46,1.93,1.98,2.75,2.40,2.64,2.62,2.50,2.07,2.00,2.05,1.97,2.05,2.00,2.23,2.28,2.36,2.25,2.15,2.09,2.06,1.87,1.93,1.79,2.01,1.94,2.07,2.13,1.97,1.79,1.85,1.81,1.65,1.70,1.90,1.94,1.72,1.95,1.95,1.98,1.73,1.86,1.76,1.72,1.77,1.46,1.35,1.15,1.13,1.21,1.14,1.22,1.33,1.43,1.62,2.00,1.87,2.23,1.99,2.14,2.00,2.06,2.00,2.05,2.14,2.11,2.11,2.12,2.37,2.52,2.17,2.38,2.43,2.54,2.56,2.41,2.73,2.73,2.82,3.05,2.55,2.23,2.04,2.08,2.27,2.43,2.71,2.24,2.18,2.01,1.72,1.68,1.51,1.46,1.14,1.53,1.47,1.36,1.38,1.61,1.46,1.62
"United States : independent power producers","dollars per million Btu","ELEC.COST_BTU.PC-US-94.M",1.15,1.14,1.34,1.35,1.41,1.38,1.45,2.25,1.89,1.72,1.48,1.59,1.57,1.39,1.18,1.05,1.13,1.15,1.39,1.55,1.17,1.43,1.20,1.41,1.44,1.48,1.63,1.08,1.78,1.75,1.94,2.26,2.36,2.01,1.76,1.63,"W","W","W",2.36,2.44,1.99,2.39,"W","W","W","W","W",0.75,"W","W","W","W",1.52,1.37,1.02,"W","W","W","W",0.00,0.00,0.00,"W","W","W","W","W","W","W",0.00,"W",2.21,0.00,2.50,2.48,2.47,2.46,2.47,2.48,2.50,2.49,2.50,2.45,2.43,2.50,2.50,2.12,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"New England",,"ELEC.COST_BTU.PC-NEW-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : all sectors",,"ELEC.COST_BTU.PC-NEW-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : electric power","dollars per million Btu","ELEC.COST_BTU.PC-NEW-98.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : electric utility","dollars per million Btu","ELEC.COST_BTU.PC-NEW-1.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
