"Fossil-fuel stocks for electricity generation for coal"
"https://www.eia.gov/electricity/data/browser/#/topic/11?agg=1,0,2&fuel=8&geo=vvg&sec=80o&linechart=ELEC.STOCKS.COL-US-98.M&columnchart=ELEC.STOCKS.COL-US-98.M&map=ELEC.STOCKS.COL-US-98.M&freq=M&start=200801&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin="
"Mon Sep 28 2020 01:55:37 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Fossil-fuel stocks for electricity generation for coal","thousand tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : electric power","thousand tons","ELEC.STOCKS.COL-US-98.M",146973,142782,146497,154029,159408,152542,142572,139352,143903,155659,163390,161589,156075,160601,174223,185790,195103,195656,193563,191532,197208,199477,203765,189467,178091,171026,177742,189260,191669,181490,169504,159987,163776,175686,183389,174917,164575,161064,166255,173427,174093,165149,147296,138527,143711,156196,167754,172387,180091,186866,195380,202265,203137,197924,183958,178537,182020,186396,188291,185116,178859,175565,171736,173014,177174,171124,160019,154567,152694,154194,156249,147884,133705,119904,118260,128925,136921,133479,125870,121369,124546,136964,142595,151548,154390,149071,154347,167063,172809,166437,157938,155952,162109,175588,188595,195548,187203,187064,191553,193185,192417,182086,168119,158908,156567,160932,170277,162009,156214,160502,161815,163937,162542,158014,145811,141204,139571,141463,143424,137687,123235,120526,126008,128571,127982,121041,110348,103744,100384,104855,104075,102793,99378,98835,97102,108852,115888,117710,110933,110560,110952,119045,123033,128497,134402,139558,145451,151998,154340,150728,138354
"United States : electric utility","thousand tons","ELEC.STOCKS.COL-US-1.M",116403,113490,117338,122197,124651,119780,112855,109761,113167,122523,129156,127463,124894,127496,137848,148301,155777,156539,155786,155085,159420,162582,165738,154815,146174,140533,145182,152253,153295,146130,138240,131072,133943,143363,149066,143744,134983,131893,135359,141094,140536,133988,120226,113210,118038,128170,137122,142103,144615,150246,157444,161926,162992,158366,148517,144975,147916,151418,152864,150942,145550,144081,141891,143082,144824,139705,131967,127153,125579,125616,126611,120792,108249,97363,96029,103431,108064,103948,97829,93552,96266,105094,110221,116684,118239,115271,120635,130078,134499,130716,124301,123296,128351,138712,149168,153226,146300,145895,148648,150859,150639,144309,134344,128256,127532,131510,138091,130885,125221,128051,128645,130461,129300,126564,117584,114228,113247,114939,117758,114782,103761,101532,106377,107870,107176,101498,93099,87944,84696,87394,86252,84728,81756,81339,79627,88960,93643,94364,89638,89229,89877,96515,99827,104344,108369,112442,116736,122308,124071,120815,110991
"United States : independent power producers","thousand tons","ELEC.STOCKS.COL-US-94.M",30570,29292,29159,31832,34757,32762,29717,29591,30736,33136,34234,34126,31181,33105,36375,37489,39327,39117,37777,36446,37789,36895,38027,34652,31917,30493,32559,37007,38374,35359,31265,28915,29833,32323,34323,31173,29591,29171,30896,32334,33557,31161,27070,25317,25673,28026,30632,30284,35476,36620,37935,40339,40146,39558,35442,33562,34104,34978,35428,34174,33309,31484,29845,29933,32350,31418,28053,27414,27115,28578,29638,27092,25456,22541,22231,25494,28856,29531,28041,27817,28280,31870,32374,34864,36151,33800,33712,36985,38310,35720,33638,32656,33757,36876,39427,42322,40903,41168,42905,42327,41778,37777,33775,30652,29035,29422,32185,31124,30994,32451,33170,33475,33242,31450,28228,26976,26324,26524,25666,22905,19474,18994,19631,20701,20806,19544,17249,15800,15688,17461,17823,18065,17622,17497,17475,19891,22245,23346,21295,21331,21075,22530,23207,24153,26033,27116,28715,29690,30269,29913,27363
"New England",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : electric power","thousand tons","ELEC.STOCKS.COL-NEW-98.M","W","W","W","W","W",1120,"W","W","W","W","W","W","W","W",1148,1092,"W",1390,"W",1418,1544,1429,1518,1238,1105,1018,1065,1068,1067,987,794,659,996,1078,1159,873,765,522,660,818,"W",1112,918,959,1089,"W","W",1389,"W",1297,1320,1355,1355,1284,1028,907,985,1058,1048,1030,873,"W",670,737,1092,1251,1082,1153,1221,1367,1289,1129,1121,878,725,808,1206,1481,1573,1655,1628,1662,"W",1611,1324,1102,1079,1154,1333,1382,1392,1481,1564,1542,1687,1758,1784,1721,1763,1785,1794,1755,1802,1773,1789,1839,1911,1638,1564,1417,1155,1131,1109,1179,1069,1068,"W",1063,1047,933,740,735,702,632,698,693,702,697,684,685,634,605,522,508,484,467,507,"W","W","W","W","W","W",465,462,451,475,"W","W","W","W"
"New England : electric utility","thousand tons","ELEC.STOCKS.COL-NEW-1.M",310,274,226,351,331,363,328,222,174,274,280,425,390,400,391,372,362,415,434,521,532,527,545,532,476,446,377,342,296,294,222,224,371,434,459,363,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"New England : independent power producers","thousand tons","ELEC.STOCKS.COL-NEW-94.M",503,405,501,665,709,757,572,762,581,605,508,621,539,502,757,720,916,974,1012,897,1012,902,973,707,630,572,688,726,771,693,572,435,625,644,700,510,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Middle Atlantic",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
