"Fossil-fuel stocks for electricity generation for petroleum coke"
"https://www.eia.gov/electricity/data/browser/#/topic/11?agg=1,0,2&fuel=2&geo=vvg&sec=80o&linechart=ELEC.STOCKS.PC-US-98.M&columnchart=ELEC.STOCKS.PC-US-98.M&map=ELEC.STOCKS.PC-US-98.M&freq=M&start=200801&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 01:54:51 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Fossil-fuel stocks for electricity generation for petroleum coke","thousand tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : electric power","thousand tons","ELEC.STOCKS.PC-US-98.M",656,573,662,722,758,723,776,712,689,683,777,739,746,738,715,705,779,763,729,876,963,1152,1258,1394,1406,1280,1240,1243,1188,1117,1046,1112,1158,1197,1098,1019,799,707,495,526,563,496,463,437,385,440,494,508,409,374,453,457,406,458,406,336,353,406,416,495,442,442,407,456,443,408,394,260,309,291,338,390,298,277,350,515,458,397,381,388,389,510,633,827,892,850,818,912,999,1031,1064,1029,1102,1151,1290,1340,1320,1323,1240,1181,1071,905,858,780,768,813,833,845,768,756,785,844,772,742,724,749,798,862,859,864,720,692,736,731,709,591,668,625,608,541,557,539,528,506,498,510,445,389,355,381,293,283,425,443,521,615,537,537,525,476,443
"United States : electric utility","thousand tons","ELEC.STOCKS.PC-US-1.M",325,287,328,364,404,353,375,379,396,427,487,468,680,679,666,659,747,716,645,751,828,953,1060,1194,1178,1045,983,1022,986,943,907,976,1017,1006,894,850,657,594,437,463,490,433,411,"W","W",346,391,404,324,293,351,"W","W",287,216,198,267,339,346,414,358,362,323,387,348,303,279,183,191,214,250,303,216,202,282,451,374,343,300,289,297,394,502,686,742,723,698,776,856,883,909,891,973,1026,1159,1163,1089,1064,974,901,826,689,678,589,566,606,606,603,540,544,558,622,562,535,544,569,624,683,677,692,579,561,612,647,648,526,614,580,557,511,540,521,518,495,482,501,435,382,348,373,282,277,408,429,518,599,523,521,514,467,424
"United States : independent power producers","thousand tons","ELEC.STOCKS.PC-US-94.M",332,287,335,358,354,370,400,333,293,256,290,270,67,59,49,46,32,48,84,125,135,198,198,201,228,235,258,221,202,174,139,136,141,191,204,168,142,113,59,63,73,64,52,"W","W",94,102,104,85,81,102,"W","W",171,190,139,86,67,70,81,84,81,84,69,96,105,115,77,118,77,88,86,83,74,67,64,84,54,81,99,92,117,131,142,150,127,120,136,143,149,156,138,129,125,131,177,231,259,266,280,246,216,180,191,201,207,227,241,228,212,227,221,210,207,180,181,173,179,182,171,141,131,124,84,61,65,53,45,51,30,16,19,9,11,16,10,10,7,8,8,11,6,17,14,2,16,14,17,11,9,19
"New England",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : electric power","thousand tons","ELEC.STOCKS.PC-NEW-98.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : electric utility","thousand tons","ELEC.STOCKS.PC-NEW-1.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New England : independent power producers","thousand tons","ELEC.STOCKS.PC-NEW-94.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middle Atlantic",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
