"Net generation for petroleum liquids"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=4&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&columnchart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&map=ELEC.GEN.PEL-US-99.M&freq=M&start=200101&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 02:12:35 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Net generation for petroleum liquids","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States","thousand megawatthours","ELEC.GEN.PEL-US-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all sectors","thousand megawatthours","ELEC.GEN.PEL-US-99.M",17300,9626,10981,10237,9641,10997,10050,13235,6432,5573,5090,5484,5434,4388,6937,6535,6664,6429,8507,8194,6670,6910,5174,6859,11518,9740,9347,7314,6841,9534,10542,10836,7114,6970,4939,8040,13509,7701,8098,7400,8511,9185,10337,9185,7070,5928,5270,8197,10261,5575,6472,5273,4823,8740,11039,12414,10452,8385,5199,11207,4246,3257,2407,3039,2902,4060,5121,6571,3043,3354,3355,3105,4420,7596,4118,3830,3489,4213,4125,5702,3647,3558,2001,2803,3131,2438,2112,2274,2343,3707,2983,2547,2990,1943,2191,3257,4968,2267,2089,1658,2053,2090,2124,2449,1677,1815,1315,1468,3187,1251,1272,1220,1851,2656,2970,2419,1675,1221,1220,2395,1902,1217,1276,1459,1356,1374,1714,1295,1119,1114,1082,1178,1180,907,971,965,1078,1306,1531,1202,978,1061,986,1235,1733,1130,990,995,1067,1035,1458,1076,964,945,989,1438,5913,1847,2002,911,960,889,992,1014,929,908,963,947,1927,5221,1061,919,1017,1040,1201,1093,1006,945,995,948,1396,1299,874,833,984,972,1273,1258,946,937,1070,1166,1102,869,956,860,970,991,920,968,931,973,915,1958,5555,804,830,872,1040,1066,988,1047,1055,1015,1006,966,1358,806,823,788,943,976,1029,1084,942,955,911,961,934,749,704,624,694,849,950
"United States : electric power",,"ELEC.GEN.PEL-US-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : electric utility","thousand megawatthours","ELEC.GEN.PEL-US-1.M",11120,5767,6521,6661,6729,7415,6794,8395,4763,3792,3342,3429,3685,2768,4635,4861,5045,4537,5291,5216,4711,4669,3409,4012,5885,4424,5168,4210,5092,6315,6633,6668,5239,5237,3228,4676,5425,4350,4639,4549,5604,6318,6990,6050,5287,4635,3689,4659,4722,3439,3697,3520,3805,5262,6519,7206,6366,4671,3316,6049,2783,2109,1626,2278,2121,3039,3315,4699,2281,2466,2451,2102,2461,3843,2434,2779,2652,3059,3101,4316,2822,2793,1452,1612,1791,1508,1375,1706,1801,2615,2040,1953,2297,1485,1598,2036,2478,1428,1302,1232,1635,1673,1679,1812,1328,1455,979,1034,2418,890,1009,923,1443,2132,1986,1785,1207,877,835,1752,1210,888,982,1178,1062,976,1110,924,819,837,822,879,858,699,784,766,816,934,1133,906,737,787,717,755,1018,723,755,744,785,751,950,794,664,699,731,832,2445,1051,1037,711,709,650,711,711,711,652,643,666,1147,2014,696,695,701,765,834,794,690,682,718,650,965,830,623,602,695,710,926,905,644,658,700,811,796,627,752,641,708,707,651,696,665,734,639,950,2491,617,595,632,745,756,668,711,781,751,703,657,855,561,597,534,671,724,715,809,693,698,632,693,757,588,492,451,511,629,689
"United States : independent power producers","thousand megawatthours","ELEC.GEN.PEL-US-94.M",5582,3438,4040,3227,2578,3281,2928,4479,1355,1462,1438,1724,1433,1347,1994,1400,1346,1623,2925,2704,1690,1937,1391,2450,5214,4967,3824,2804,1427,2867,3542,3808,1567,1378,1411,3010,7346,2921,3069,2520,2570,2501,2959,2790,1496,1018,1267,3118,5015,1771,2431,1418,743,3189,4124,4846,3799,3391,1600,4769,1165,880,521,552,569,824,1599,1634,548,712,682,711,1677,3440,1412,791,596,964,856,1198,689,617,411,995,1130,759,574,443,427,969,826,490,550,356,483,1012,2242,646,624,280,281,282,341,526,245,271,247,323,655,266,192,228,333,459,900,568,401,267,310,540,588,252,229,221,242,347,554,320,246,213,204,238,224,147,127,141,210,314,340,235,186,204,213,415,635,346,187,206,228,241,460,239,262,202,212,544,3281,698,880,160,203,193,236,261,171,209,268,228,701,3049,306,170,257,215,314,250,273,216,235,254,379,416,210,188,233,214,291,309,258,232,325,307,251,198,157,178,221,245,228,232,226,195,221,930,2951,133,186,199,248,268,260,292,233,218,245,254,446,197,180,204,230,209,274,224,203,216,233,226,134,122,175,140,145,179,220
"United States : all commercial","thousand megawatthours","ELEC.GEN.PEL-US-96.M",61,39,37,31,32,32,35,39,31,35,29,32,35,36,31,27,27,29,38,37,33,31,37,65,38,33,31,19,30,36,42,44,35,32,33,44,71,51,44,44,39,37,42,40,31,28,28,37,57,37,29,22,22,28,33,31,29,25,20,36,27,30,30,21,16,14,17,16,11,10,14,23,26,43,23,15,9,11,8,12,6,6,5,16,19,14,8,8,8,12,17,9,7,7,10,17,43,19,11,11,9,5,8,12,8,8,10,12,12,10,7,8,12,10,18,11,9,6,3,11,20,10,6,4,5,3,7,7,7,6,6,5,14,15,12,17,12,21,18,18,14,19,15,15,19,14,7,7,8,7,13,7,6,7,8,16,102,37,30,9,8,8,9,7,8,9,9,10,22,72,11,8,10,10,12,12,7,6,6,7,8,8,3,6,6,5,8,7,4,5,8,8,13,7,9,5,6,5,7,7,6,6,7,23,41,7,7,8,7,7,11,9,7,7,12,9,13,8,8,7,8,7,10,13,11,10,9,9,9,5,7,5,7,7,10
"United States : all industrial","thousand megawatthours","ELEC.GEN.PEL-US-97.M",538,383,383,318,301,269,292,322,284,284,281,300,280,238,276,247,247,239,253,237,236,274,335,333,381,317,324,281,292,316,325,317,273,323,267,310,666,379,347,287,298,329,345,304,257,247,286,383,467,328,316,313,253,261,362,331,259,297,263,353,272,237,230,188,197,184,190,223,203,167,208,268,256,270,250,245,233,179,161,175,130,143,133,180,191,157,155,117,106,111,99,95,136,96,99,192,204,174,152,135,128,130,96,99,96,80,79,99,102,86,63,61,63,55,67,55,58,71,72,92,84,68,59,56,47,48,43,45,46,58,49,55,84,46,49,41,41,37,39,43,40,50,41,51,61,47,42,37,46,36,36,36,33,37,37,47,85,61,56,32,40,37,37,35,39,39,42,42,57,86,49,45,48,49,41,37,37,40,36,38,45,45,39,37,51,44,48,37,41,41,37,40,42,37,38,36,35,33,34,33,35,39,47,55,73,47,41,33,41,34,49,35,34,39,46,46,44,40,38,42,34,36,30,38,35,31,36,34,34,33,30,27,30,34,32
"New England","thousand megawatthours","ELEC.GEN.PEL-NEW-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : all sectors","thousand megawatthours","ELEC.GEN.PEL-NEW-99.M",2737,1761,1918,834,1245,1340,1120,1909,793,748,821,1143,846,922,1045,643,751,600,1096,1127,980,1105,739,1231,2040,1857,1292,852,578,978,1121,1080,511,812,873,1571,2993,1324,1129,678,801,735,992,921,610,360,732,1338,2091,883,962,600,290,763,1125,1425,1121,1436,636,1896,525,326,224,268,252,363,577,521,328,456,436,407,839,1176,641,302,277,360,303,374,273,255,183,624,421,318,329,183,162,363,348,204,241,156,187,410,863,226,220,52,44,28,48,153,24,35,48,92,48,49,42,23,73,70,282,163,119,48,56,92,220,73,33,20,13,40,104,47,28,24,21,16,69,12,18,14,18,95,73,35,14,23,32,12,279,213,10,19,13,25,126,19,23,12,29,327,1327,309,419,8,9,9,25,34,9,9,17,30,246,1556,57,11,14,3,51,25,55,11,13,13,47,103,4,8,21,18,62,66,45,61,176,82,37,37,21,8,32,22,20,22,23,11,28,486,1043,6,13,19,7,42,33,31,9,10,25,7,69,16,16,12,10,12,44,22,12,20,21,32,18,13,7,8,8,17,25
